stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,2.0,11.078923332999693,,11.071091999998316,11.078923332999693,11.567883374998928,11.567883374998928,11.572708958003204,11.855209833011031,12.223680750001222,right,2.0,1,1,0.6526868340006331,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
11,1,2.0,12.234480416009319,,12.223994708008831,12.234480416009319,12.722687208006391,12.722687208006391,12.722687208006391,13.01792408300389,13.323662458002218,left,-2.0,1,1,0.598968167003477,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
12,1,1.0,13.334453583011054,,13.323974541010102,13.334453583011054,13.82311033300357,13.82311033300357,13.82311033300357,14.121960916003445,14.440941125008976,right,1.0,1,1,0.6141025420074584,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
13,1,1.0,14.450333665998187,,14.441259375002119,14.450333665998187,14.94009995801025,14.94009995801025,14.94009995801025,15.234540290999576,15.570434291003039,left,-1.0,1,1,0.6261244999914197,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
14,1,1.0,15.578815250002663,,15.570823333007866,15.578815250002663,16.06782845800626,16.06782845800626,16.07288687500113,16.35503091600549,16.624128041003132,left,-1.0,1,1,0.5538296660088236,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
15,1,1.0,16.633847375007463,,16.624452375006513,16.633847375007463,17.123567375005223,17.123567375005223,17.123567375005223,17.41792379099934,17.6736839160003,right,1.0,1,1,0.5463453330012271,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
16,1,1.0,17.68428583300556,,17.673990583003615,17.68428583300556,18.173691041010898,18.173691041010898,18.173691041010898,18.47198087500874,18.919962250001845,right,1.0,1,1,0.7411595000012312,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
17,1,1.0,18.928189750004094,,18.92025987501256,18.928189750004094,19.417728708009236,19.417728708009236,19.4227625830099,19.704606125000282,20.536757291003596,left,-1.0,1,1,1.1129013329918962,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
18,1,1.0,20.545183250011178,,20.53722574999847,20.545183250011178,21.034462000010535,21.034462000010535,21.039122250003857,21.321458416001406,21.73664745800488,right,1.0,1,1,0.6953417500044452,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
19,1,1.0,21.74489800000447,,21.736942583011114,21.74489800000447,22.23439691599924,22.23439691599924,22.239686790999258,22.52136033300485,26.670509415998822,right,1.0,1,1,4.427052041995921,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
20,1,1.0,26.679151832999196,,26.67099241600954,26.679151832999196,27.167778333008755,27.167778333008755,27.172823958011577,27.453619625011925,28.09077808300208,right,1.0,1,1,0.9186622919951333,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
21,1,1.0,28.100320333003765,,28.09112750001077,28.100320333003765,28.589037166006165,28.589037166006165,28.589037166006165,28.884489208008745,29.152996916003758,left,-1.0,1,1,0.5575752919976367,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
22,1,1.0,29.160883750009816,,29.15340875000402,29.160883750009816,29.65109037500224,29.65109037500224,29.656389791009133,29.93843687500339,30.32386062500882,right,1.0,1,1,0.6700282919919118,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
23,1,1.0,30.333500000007916,,30.324176416004775,30.333500000007916,30.822193875006633,30.822193875006633,30.822193875006633,31.117719875008333,31.837583500004257,right,1.0,1,1,1.0084262090094853,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
